name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear,Gender,Source
KyoungSoo Park,KAIST (Korea Advanced Institute of Science and Technology),2011,Program,Male,Male,Asia,2007,Male,FullNameMatch
Jennifer Rexford,Princeton University,2011,Program,Female,Female,North America,1996,Female,FullNameMatch
Alex C. Snoeren,"University of California, San Diego",2011,Program,Male,Male,North America,2002,Male,FullNameMatch
Lakshminarayanan Subramanian,New York University,2011,Program,Male,Male,North America,2005,Male,FullNameMatch
Helen Wang,Microsoft Research,2011,Program,Female,Female,North America,2001,Female,FullNameMatch
Bill Weihl,Google,2011,Program,Male,Male,North America,1984,Male,FullNameMatch
David Andersen,Carnegie Mellon University,2012,Program,Male,Male,North America,2004,Male,FullNameMatch
John Byers,Boston University,2012,Program,,Male,North America,1997,Male,FuzzyMatch
Miguel Castro,Microsoft Research,2012,Program,Male,Male,North America,2001,Male,FullNameMatch
Ranveer Chandra,Microsoft Research,2012,Program,Male,Male,North America,2005,Male,FullNameMatch
Jon Crowcroft,University of Cambridge,2012,Program,Male,Male,Europe,1993,Male,FullNameMatch
Nick Feamster,Georgia Tech,2012,Program,Male,Male,North America,2005,Male,FullNameMatch
Mike Freedman,Princeton University,2012,Program,Male,Male,North America,2007,Male,FullNameMatch
Roxana Geambasu,Columbia University,2012,Program,Female,Female,North America,2011,Female,FullNameMatch
Srikanth Kandula,Microsoft Research,2012,Program,Male,Male,North America,2008,Male,FullNameMatch
Brad Karp,University College London,2012,Program,Male,Male,Europe,2000,Male,FullNameMatch
Eddie Kohler,Harvard University,2012,Program,Male,Male,North America,2001,Male,FullNameMatch
Arvind Krishnamurthy,University of Washington,2012,Program,Male,Male,North America,1998,Male,FullNameMatch
Kate Lin,"Academia Sinica, Taiwan",2012,Program,,Female,Asia,2009,Female,FuzzyMatch
Michael Mitzenmacher,Harvard University,2012,Program,Male,Male,North America,1996,Male,FullNameMatch
Ed Nightingale,Microsoft Research,2012,Program,Male,Male,North America,2006,Male,FullNameMatch
Brian Noble,University of Michigan,2012,Program,Male,Male,North America,1998,Male,FullNameMatch
Srinivasan Seshan,Carnegie Mellon University,2012,Program,Male,Male,North America,1995,Male,FullNameMatch
Emin Gün Sirer,Cornell University,2012,Program,,Male,North America,2002,Male,FuzzyMatch
Kun Tan,Microsoft Research,2012,Program,Male,Male,North America,?,Male,FullNameMatch
