name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear,Gender,Source
Kai Chen,HKUST,2018,Program,,Male,Asia,2012,Male,FuzzyMatch
Romit Roy Choudhury,University of Illinois at Urbana-Champaign,2018,Program,Male,Male,North America,2006,Male,FullNameMatch
Mike Freedman,Princeton University,2018,Program,Male,Male,North America,2007,Male,FullNameMatch
Roxana Geambasu,Columbia University,2018,Program,Female,Female,North America,2011,Female,FullNameMatch
Shyam Gollakota,University of Washington,2018,Program,Male,Male,North America,2013,Male,FullNameMatch
Ramesh Govindan,USC,2018,Program,Male,Male,North America,1992,Male,FullNameMatch
Dongsu Han,KAIST,2018,Program,Male,Male,Asia,2012,Male,FullNameMatch
Jon Howell,Google,2018,Program,Male,Male,North America,2000,Male,FullNameMatch
Kyle Jamieson,Princeton University,2018,Program,Male,Male,North America,2008,Male,FullNameMatch
Michael Kaminsky,Intel Labs,2018,Program,Male,Male,North America,2004,Male,FullNameMatch
Srikanth Kandula,Microsoft,2018,Program,Male,Male,North America,2008,Male,FullNameMatch
Srinivas Keshav,University of Waterloo,2018,Program,,Male,Europe,1991,Male,FuzzyMatch
Kyu-Han Kim,Hewlett Packard Labs,2018,Program,Male,Male,Asia,2009,Male,FullNameMatch
Eddie Kohler,Harvard University,2018,Program,Male,Male,North America,2001,Male,FullNameMatch
Arvind Krishnamurthy,University of Washington,2018,Program,Male,Male,North America,1998,Male,FullNameMatch
Wyatt Lloyd,Princeton University,2018,Program,Male,Male,North America,2013,Male,FullNameMatch
Boon Thau Loo,University of Pennsylvania,2018,Program,Male,Male,North America,2006,Male,FullNameMatch
Jay Lorch,Microsoft,2018,Program,Male,Male,North America,2001,Male,FullNameMatch
Harsha V. Madhyastha,University of Michigan,2018,Program,Male,Male,North America,2008,Male,FullNameMatch
Dahlia Malkhi,VMware Research,2018,Program,Female,Female,North America,1994,Female,FullNameMatch
KyongSoo Park,KAIST,2018,Program,,Male,Asia,2007,Male,FuzzyMatch
Amar Phanishayee,Microsoft Research,2018,Program,Male,Male,North America,2011,Male,FullNameMatch
Raluca Ada Popa,"University of California, Berkeley",2018,Program,Female,Female,North America,2014,Female,FullNameMatch
George Porter,"University of California, San Diego",2018,Program,Male,Male,North America,2008,Male,FullNameMatch
Lili Qiu,UT Austin,2018,Program,Female,Female,North America,2001,Female,FullNameMatch
Costin Raiciu,University Politehnica of Bucharest,2018,Program,Male,Male,Europe,2011,Male,FullNameMatch
Timothy Roscoe,ETH Zurich,2018,Program,Male,Male,Europe,1995,Male,FullNameMatch
Michael Schapira,Hebrew University,2018,Program,Male,Male,Asia,2008,Male,FullNameMatch
Cole Schlesinger,Barefoot Networks,2018,Program,Male,Male,North America,2015,Male,FullNameMatch
Vyas Sekar,Carnegie Mellon University,2018,Program,Male,Male,North America,2010,Male,FullNameMatch
Emin Gun Sirer,Cornell University,2018,Program,Male,Male,North America,2002,Male,FullNameMatch
Alex C. Snoeren,"University of California, San Diego",2018,Program,Male,Male,North America,2002,Male,FullNameMatch
Hakim Weatherspoon,Cornell University,2018,Program,Male,Male,North America,2006,Male,FullNameMatch
Keith Winstein,Stanford University,2018,Program,Male,Male,North America,2014,Male,FullNameMatch
Timothy Wood 0001,George Washington University,2018,Program,Male,Male,North America,2011,Male,FullNameMatch
Minlan Yu,Yale University,2018,Program,Female,Female,North America,2011,Female,FullNameMatch
Matei Zaharia,Stanford University,2018,Program,Male,Male,North America,2013,Male,FullNameMatch
Lin Zhong,Rice University,2018,Program,Male,Male,North America,2005,Male,FullNameMatch
Fadel Adib,Massachusetts Institute of Technology,2019,Program,Male,Male,North America,2016,Male,FullNameMatch
Aditya Akella,University of Wisconsin—Madison,2019,Program,Male,Male,North America,2005,Male,FullNameMatch
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2019,Program,,Female,Europe,2007,Female,FuzzyMatch
Aruna Balasubramanian,Stony Brook University,2019,Program,Female,Female,North America,2011,Female,FullNameMatch
Sujata Banerjee,VMware Research,2019,Program,Female,Female,North America,1993,Female,FullNameMatch
Paul Barham,Google,2019,Program,Male,Male,North America,1996,Male,FullNameMatch
Ranjita Bhagwan,Microsoft Research,2019,Program,Female,Female,Asia,2004,Female,FullNameMatch
Kai Chen,Hong Kong University of Science and Technology,2019,Program,,Male,Asia,2012,Male,FuzzyMatch
Vijay Chidambaram,The University of Texas at Austin and VMware Research,2019,Program,Male,Male,North America,2015,Male,FullNameMatch
Mosharaf Chowdhury,University of Michigan,2019,Program,Male,Male,North America,2015,Male,FullNameMatch
Asaf Cidon,Barracuda Networks,2019,Program,Male,Male,North America,2015,Male,FullNameMatch
Anja Feldmann,Technische Universität Berlin,2019,Program,Female,Female,Europe,1995,Female,FullNameMatch
Bryan Ford,École Polytechnique Fédérale de Lausanne (EPFL),2019,Program,Male,Male,North America,2008,Male,FullNameMatch
Roxana Geambasu,Columbia University,2019,Program,Female,Female,North America,2011,Female,FullNameMatch
Manya Ghobadi,Microsoft Research,2019,Program,Female,Female,North America,2013,Female,FullNameMatch
Jana Giceva,Imperial College London,2019,Program,Female,Female,Europe,2017,Female,FullNameMatch
Ronghui Gu,Columbia University,2019,Program,Male,Male,North America,2016,Male,FullNameMatch
Haryadi Gunawi,University of Chicago,2019,Program,Male,Male,North America,2009,Male,FullNameMatch
Andreas Haeberlen,University of Pennsylvania,2019,Program,Male,Male,North America,2009,Male,FullNameMatch
Haitham Hassanieh,University of Illinois at Urbana-Champaign,2019,Program,Male,Male,North America,2019,Male,FullNameMatch
Jon Howell,VMware Research,2019,Program,Male,Male,North America,2000,Male,FullNameMatch
Rebecca Isaacs,Twitter,2019,Program,Female,Female,North America,2000,Female,FullNameMatch
Xin Jin,Johns Hopkins University,2019,Program,Male,Male,Asia,2016,Male,FullNameMatch
Srikanth Kandula,Microsoft Research,2019,Program,Male,Male,North America,2008,Male,FullNameMatch
Manos Kapritsos,University of Michigan,2019,Program,Male,Male,North America,2007,Male,FullNameMatch
Dejan Kostić,KTH Royal Institute of Technology,2019,Program,,Male,Europe,2005,Male,FuzzyMatch
Ramakrishna Kotla,Amazon Web Services,2019,Program,Male,Male,North America,2007,Male,FullNameMatch
Arvind Krishnamurthy,University of Washington,2019,Program,Male,Male,North America,1998,Male,FullNameMatch
Hongqiang Liu,Alibaba,2019,Program,,Male,Asia,2014,Male,FuzzyMatch
Harsha V. Madhyastha,University of Michigan and Google,2019,Program,Male,Male,North America,2008,Male,FullNameMatch
Dahlia Malkhi,VMware Research,2019,Program,Female,Female,North America,1994,Female,FullNameMatch
Allison Mankin,Salesforce,2019,Program,Female,Female,North America,1998,Female,FullNameMatch
Derek Murray,Google,2019,Program,Male,Male,North America,2011,Male,FullNameMatch
Aurojit Panda,New York University,2019,Program,Male,Male,North America,2017,Male,FullNameMatch
KyoungSoo Park,Korea Advanced Institute of Science and Technology (KAIST),2019,Program,Male,Male,Asia,2007,Male,FullNameMatch
Amar Phanishayee,Microsoft Research,2019,Program,Male,Male,North America,2011,Male,FullNameMatch
Raluca Ada Popa,"University of California, Berkeley",2019,Program,Female,Female,North America,2014,Female,FullNameMatch
George Porter,"University of California, San Diego",2019,Program,Male,Male,North America,2008,Male,FullNameMatch
Lili Qiu,The University of Texas at Austin,2019,Program,Female,Female,North America,2001,Female,FullNameMatch
K. K. Ramakrishnan,"University of California, Riverside",2019,Program,Male,Male,North America,1983,Male,FullNameMatch
Michael Schapira,Hebrew University of Jerusalem,2019,Program,Male,Male,Asia,2008,Male,FullNameMatch
Cole Schlesinger,Amazon Web Services,2019,Program,Male,Male,North America,2015,Male,FullNameMatch
Vyas Sekar,Carnegie Mellon University,2019,Program,Male,Male,North America,2010,Male,FullNameMatch
Ankit Singla,ETH Zurich,2019,Program,Male,Male,Europe,2015,Male,FullNameMatch
Anirudh Sivaraman,New York University,2019,Program,Male,Male,North America,2017,Male,FullNameMatch
Alex C. Snoeren,"University of California, San Diego",2019,Program,Male,Male,North America,2002,Male,FullNameMatch
Michael Stumm,University of Toronto,2019,Program,Male,Male,North America,1984,Male,FullNameMatch
Ryan Stutsman,University of Utah,2019,Program,Male,Male,North America,2013,Male,FullNameMatch
Geoff Voelker,"University of California, San Diego",2019,Program,Male,Male,North America,2000,Male,FullNameMatch
Hakim Weatherspoon,Cornell University,2019,Program,Male,Male,North America,2006,Male,FullNameMatch
John Wilkes,Google,2019,Program,Male,Male,North America,1982,Male,FullNameMatch
Keith Winstein,Stanford University,2019,Program,Male,Male,North America,2014,Male,FullNameMatch
Jie Xiong,University of Massachusetts Amherst,2019,Program,,Male,North America,2015,Male,FuzzyMatch
James Hongyi Zeng,Facebook,2019,Program,,Male,North America,2014,Male,FuzzyMatch
Irene Zhang,Microsoft Research,2019,Program,Female,Female,North America,2017,Female,FullNameMatch
Xinyu Zhang,"University of California, San Diego",2019,Program,,Male,North America,2012,Male,FuzzyMatch
Lin Zhong,Rice University,2019,Program,Male,Male,North America,2005,Male,FullNameMatch
Rachit Agarwal,Cornell University,2020,Program,,Male,North America,2012,Male,FuzzyMatch
Aditya Akella,University of Wisconsin—Madison,2020,Program,Male,Male,North America,2005,Male,FullNameMatch
Mohammad Alizadeh,Massachusetts Institute of Technology,2020,Program,Male,Male,North America,2013,Male,FullNameMatch
Andrea Arpaci-Dusseau,University of Wisconsin—Madison,2020,Program,Female,Female,North America,1998,Female,FullNameMatch
Behnaz Arzani,Microsoft Research,2020,Program,Female,Female,North America,2017,Female,FullNameMatch
Hitesh Ballani,Microsoft Research,2020,Program,Male,Male,Europe,2009,Male,FullNameMatch
Sujata Banerjee,VMware Research,2020,Program,Female,Female,North America,1993,Female,FullNameMatch
Ivan Beschastnikh,University of British Columbia,2020,Program,Male,Male,North America,2013,Male,FullNameMatch
Dinesh Bharadia,"University of California, San Diego",2020,Program,Male,Male,North America,2016,Male,FullNameMatch
Fabian Bustamante,Northwestern University,2020,Program,,Male,North America,2001,Male,FuzzyMatch
David Choffnes,Northeastern University,2020,Program,Male,Male,North America,2010,Male,FullNameMatch
Romit Roy Choudhury,University of Illinois at Urbana–Champaign,2020,Program,Male,Male,North America,2006,Male,FullNameMatch
Asaf Cidon,Columbia University,2020,Program,Male,Male,North America,2015,Male,FullNameMatch
Heming Cui,University of Hong Kong,2020,Program,Male,Male,Asia,2014,Male,FullNameMatch
Nate Foster,Cornell University,2020,Program,Male,Male,North America,2009,Male,FullNameMatch
Manya Ghobadi,Massachusetts Institute of Technology,2020,Program,Female,Female,North America,2013,Female,FullNameMatch
Arpit Gupta,"University of California, Santa Barbara",2020,Program,Male,Male,North America,2018,Male,FullNameMatch
Hamed Haddadi,Imperial College London,2020,Program,Male,Male,Europe,2008,Male,FullNameMatch
Rebecca Isaacs,Twitter,2020,Program,Female,Female,North America,2000,Female,FullNameMatch
Kyle Jamieson,Princeton University,2020,Program,Male,Male,North America,2008,Male,FullNameMatch
Xin Jin,Johns Hopkins University,2020,Program,Male,Male,Asia,2016,Male,FullNameMatch
Dina Katabi,Massachusetts Institute of Technology,2020,Program,Female,Female,North America,2003,Female,FullNameMatch
Charles Killian,Google,2020,Program,Male,Male,North America,2008,Male,FullNameMatch
Taesoo Kim,Georgia Institute of Technology,2020,Program,Male,Male,North America,2014,Male,FullNameMatch
Dejan Kostic,KTH Royal Institute of Technology,2020,Program,Male,Male,Europe,2005,Male,FullNameMatch
Patrick P. C. Lee,The Chinese University of Hong Kong,2020,Program,Male,Male,North America,2008,Male,FullNameMatch
Andrew Moore,Cambridge University,2020,Program,Male,Male,Europe,2001,Male,FullNameMatch
Ravi Netravali,"University of California, Los Angeles",2020,Program,Male,Male,North America,2018,Male,FullNameMatch
Jitendra Padhye,Microsoft Research,2020,Program,Male,Male,North America,2000,Male,FullNameMatch
Aurojit Panda,New York University,2020,Program,Male,Male,North America,2017,Male,FullNameMatch
KyoungSoo Park,Korea Advanced Institute of Science and Technology (KAIST),2020,Program,Male,Male,Asia,2007,Male,FullNameMatch
Bryan Parno,Carnegie Mellon University,2020,Program,Male,Male,North America,2010,Male,FullNameMatch
Simon Peter,The University of Texas at Austin,2020,Program,Male,Male,North America,2012,Male,FullNameMatch
Amar Phanishayee,Microsoft Research,2020,Program,Male,Male,North America,2011,Male,FullNameMatch
Ramachandran Ramjee,Microsoft Research,2020,Program,Male,Male,Asia,1997,Male,FullNameMatch
Cole Schlesinger,Barefoot Networks,2020,Program,Male,Male,North America,2015,Male,FullNameMatch
Aaron Schulman,"University of California, San Diego",2020,Program,Male,Male,North America,2013,Male,FullNameMatch
Vyas Sekar,Carnegie Mellon University,2020,Program,Male,Male,North America,2010,Male,FullNameMatch
Ankit Singla,ETH Zurich,2020,Program,Male,Male,Europe,2015,Male,FullNameMatch
Anirudh Sivaraman,New York University,2020,Program,Male,Male,North America,2017,Male,FullNameMatch
Lalith Suresh,VMware Research,2020,Program,Male,Male,North America,2016,Male,FullNameMatch
Renata Teixeira,Inria,2020,Program,Female,Female,Europe,2005,Female,FullNameMatch
Carmela Troncoso,École Polytechnique Fédérale de Lausanne (EPFL),2020,Program,Female,Female,Europe,2011,Female,FullNameMatch
Amin Vahdat,Google,2020,Program,Male,Male,North America,1998,Male,FullNameMatch
Laurent Vanbever,ETH Zurich,2020,Program,Male,Male,Europe,2012,Male,FullNameMatch
Rashmi Vinayak,Carnegie Mellon University,2020,Program,Female,Female,North America,2016,Female,FullNameMatch
Mythili Vutukuru,Indian Institute of Technology Bombay,2020,Program,Female,Female,Asia,2010,Female,FullNameMatch
Meg Walraed-Sullivan,Set Your Intention,2020,Program,Female,Female,North America,2012,Female,FullNameMatch
Hakim Weatherspoon,Cornell University,2020,Program,Male,Male,North America,2006,Male,FullNameMatch
Keith Winstein,Stanford University,2020,Program,Male,Male,North America,2014,Male,FullNameMatch
Ding Yuan,University of Toronto,2020,Program,Male,Male,North America,2012,Male,FullNameMatch
Eitan Zahavi,Mellanox Technologies,2020,Program,Male,Male,Asia,2016,Male,FullNameMatch
Ellen Zegura,Georgia Institute of Technology,2020,Program,,Female,North America,1993,Female,FuzzyMatch
Ben Zhao,University of Chicago,2020,Program,Male,Male,North America,2004,Male,FullNameMatch
Lin Zhong,Rice University,2020,Program,Male,Male,North America,2005,Male,FullNameMatch
Fadel Adib,Massachusetts Institute of Technology,2021,Program,Male,Male,North America,2016,Male,FullNameMatch
Rachit Agarwal,Cornell University,2021,Program,,Male,North America,2012,Male,FuzzyMatch
Irfan Ahmad,Magnition,2021,Program,Male,Male,North America,?,Male,FullNameMatch
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2021,Program,,Female,Europe,2007,Female,FuzzyMatch
Mahesh Balakrishnan,Facebook,2021,Program,Male,Male,North America,2005,Male,FullNameMatch
Aruna Balasubramanian,Stony Brook University,2021,Program,Female,Female,North America,2011,Female,FullNameMatch
Sujata Banerjee,VMware,2021,Program,Female,Female,North America,1993,Female,FullNameMatch
Suman Banerjee,University of Wisconsin—Madison,2021,Program,Male,Male,North America,2003,Male,FullNameMatch
Theo Benson,Brown University,2021,Program,Male,Male,North America,2012,Male,FullNameMatch
Dinesh Bharadia,"University of California, San Diego",2021,Program,Male,Male,North America,2016,Male,FullNameMatch
Pramod Bhatotia,TU Munich,2021,Program,Male,Male,Europe,2008,Male,FullNameMatch
Olivier Bonaventure,Université catholique de Louvain,2021,Program,Male,Male,Europe,1999,Male,FullNameMatch
Joseph Bonneau,New York University,2021,Program,Male,Male,North America,2012,Male,FullNameMatch
Matthew Caesar 0001,University of Illinois at Urbana–Champaign,2021,Program,Male,Male,North America,2007,Male,FullNameMatch
Ang Chen,Rice University,2021,Program,Male,Male,North America,2017,Male,FullNameMatch
Bo Chen,Meraki,2021,Program,Male,Male,North America,2015,Male,FullNameMatch
Kai Chen,Hong Kong University of Science & Technology,2021,Program,,Male,Asia,2012,Male,FuzzyMatch
Mosharaf Chowdhury,University of Michigan,2021,Program,Male,Male,North America,2015,Male,FullNameMatch
Asaf Cidon,Columbia University,2021,Program,Male,Male,North America,2015,Male,FullNameMatch
Italo Cunha,Universidade Federal de Minas Gerais,2021,Program,Male,Male,South America,2011,Male,FullNameMatch
Nandita Dukkipati,Google,2021,Program,Female,Female,North America,2007,Female,FullNameMatch
Zakir Durumeric,Stanford University,2021,Program,Male,Male,North America,2019,Male,FullNameMatch
Lars Eggert,NetApp,2021,Program,Male,Male,Europe,2003,Male,FullNameMatch
Manya Ghobadi,Massachusetts Institute of Technology,2021,Program,Female,Female,North America,2013,Female,FullNameMatch
Shyam Gollakota,University of Washington,2021,Program,Male,Male,North America,2013,Male,FullNameMatch
Haryadi Gunawi,University of Chicago,2021,Program,Male,Male,North America,2009,Male,FullNameMatch
Arpit Gupta,"University of California, Santa Barbara",2021,Program,Male,Male,North America,2018,Male,FullNameMatch
Indranil Gupta,University of Illinois at Urbana–Champaign,2021,Program,Male,Male,North America,2004,Male,FullNameMatch
Hamed Haddadi,Imperial College London,2021,Program,Male,Male,Europe,2008,Male,FullNameMatch
Andreas Haeberlen,University of Pennsylvania,2021,Program,Male,Male,North America,2009,Male,FullNameMatch
Dongsu Han,Korea Advanced Institute of Science and Technology (KAIST),2021,Program,Male,Male,Asia,2012,Male,FullNameMatch
Haitham Hassanieh,University of Illinois at Urbana–Champaign,2021,Program,Male,Male,North America,2019,Male,FullNameMatch
Ryan Huang,Johns Hopkins University,2021,Program,Male,Male,North America,2016,Male,FullNameMatch
Keon Jang,Max Planck Institute for Software Systems,2021,Program,Male,Male,Europe,2012,Male,FullNameMatch
Junchen Jiang,University of Chicago,2021,Program,Male,Male,North America,2017,Male,FullNameMatch
Anurag Khandelwal,Yale University,2021,Program,Male,Male,North America,2019,Male,FullNameMatch
Changhoon Kim,Barefoot Networks,2021,Program,Male,Male,North America,2009,Male,FullNameMatch
Dejan Kostic,KTH Royal Institute of Technology,2021,Program,Male,Male,Europe,2005,Male,FullNameMatch
Haonan Lu,Princeton University and Microsoft Research,2021,Program,Male,Male,North America,2019,Male,FullNameMatch
Morley Mao,University of Michigan,2021,Program,,Female,North America,2003,Female,FuzzyMatch
Shuai Mu,Stony Brook University,2021,Program,Male,Male,North America,2015,Male,FullNameMatch
Gilles Muller,Inria,2021,Program,Male,Male,Europe,1988,Male,FullNameMatch
Rajalakshmi Nandakumar,Cornell University,2021,Program,Female,Female,North America,2013,Female,FullNameMatch
Ravi Netravali,"University of California, Los Angeles",2021,Program,Male,Male,North America,2018,Male,FullNameMatch
Rishab Nithyanand,University of Iowa,2021,Program,Male,Male,North America,2017,Male,FullNameMatch
Dave Oran,Independent,2021,Program,Male,Male,North America,1993,Male,FullNameMatch
Dan Pei,Tsinghua University,2021,Program,Male,Male,Asia,2005,Male,FullNameMatch
Barath Raghavan,University of Southern California,2021,Program,Male,Male,North America,2009,Male,FullNameMatch
Costin Raiciu,Universitatea Politehnica Bucuresti,2021,Program,Male,Male,Europe,2011,Male,FullNameMatch
Jennifer Rexford,Princeton University,2021,Program,Female,Female,North America,1996,Female,FullNameMatch
Chris Rossbach,The University of Texas at Austin,2021,Program,Male,Male,North America,2009,Male,FullNameMatch
Michael Schapira,The Hebrew University of Jerusalem,2021,Program,Male,Male,Asia,2008,Male,FullNameMatch
Eric Schkufza,VMware,2021,Program,Male,Male,North America,2015,Male,FullNameMatch
Siddhartha Sen,Microsoft Research,2021,Program,,Male,North America,2012,Male,FuzzyMatch
Srinivasan Seshan,Carnegie Mellon University,2021,Program,Male,Male,North America,1995,Male,FullNameMatch
Rob Sherwood,Facebook,2021,Program,Male,Male,North America,2008,Male,FullNameMatch
Alex Snoeren,"University of California, San Diego",2021,Program,,Male,North America,2002,Male,FuzzyMatch
Ryan Stutsman,University of Utah,2021,Program,Male,Male,North America,2013,Male,FullNameMatch
Srikanth Sundaresan,Facebook,2021,Program,Male,Male,North America,2014,Male,FullNameMatch
Laurent Vanbever,ETH Zurich,2021,Program,Male,Male,Europe,2012,Male,FullNameMatch
Peter Varman,Rice University,2021,Program,Male,Male,North America,1983,Male,FullNameMatch
Matteo Varvello,Brave Software,2021,Program,Male,Male,North America,2009,Male,FullNameMatch
Joerg Widmer,IMDEA,2021,Program,Male,Male,Europe,2003,Male,FullNameMatch
Yongqiang Xiong,Microsoft Research Asia,2021,Program,Male,Male,Asia,2001,Male,FullNameMatch
Minlan Yu,Harvard University,2021,Program,Female,Female,North America,2011,Female,FullNameMatch
Matei Zaharia,Stanford University,2021,Program,Male,Male,North America,2013,Male,FullNameMatch
Irene Zhang,Microsoft Research,2021,Program,Female,Female,North America,2017,Female,FullNameMatch
Yiying Zhang,"University of California, San Diego",2021,Program,Female,Female,North America,2019,Female,FullNameMatch
Lin Zhong,Rice University,2021,Program,Male,Male,North America,2005,Male,FullNameMatch
Noa Zilberman,University of Oxford,2021,Program,Female,Female,Europe,2013,Female,FullNameMatch
Sangeetha Abdu-Jyothi,"University of California, Irvine, and VMware Research",2022,Program,,Female,North America,2019,Female,FuzzyMatch
Fadel Adib,Massachusetts Institute of Technology,2022,Program,Male,Male,North America,2016,Male,FullNameMatch
Behnaz Arzani,Microsoft Research,2022,Program,Female,Female,North America,2017,Female,FullNameMatch
Anirudh Badam,Microsoft Research,2022,Program,Male,Male,North America,2012,Male,FullNameMatch
Mahesh Balakrishnan,Facebook,2022,Program,Male,Male,North America,2005,Male,FullNameMatch
Aruna Balasubramanian,Stony Brook University,2022,Program,Female,Female,North America,2011,Female,FullNameMatch
Hitesh Ballani,Microsoft Research,2022,Program,Male,Male,Europe,2009,Male,FullNameMatch
Sujata Banerjee,VMware Research,2022,Program,Female,Female,North America,1993,Female,FullNameMatch
Theo Benson,Brown University,2022,Program,Male,Male,North America,2012,Male,FullNameMatch
Matthew Caesar,University of Illinois at Urbana–Champaign,2022,Program,,Male,North America,2007,Male,FuzzyMatch
Vijay Chidambaram,The University of Texas at Austin,2022,Program,Male,Male,North America,2015,Male,FullNameMatch
Asaf Cidon,Columbia University,2022,Program,Male,Male,North America,2015,Male,FullNameMatch
Angela Demke Brown,University of Toronto,2022,Program,Female,Female,North America,2005,Female,FullNameMatch
Fahad Dogar,Tufts University,2022,Program,Male,Male,North America,2012,Male,FullNameMatch
Giulia Fanti,Carnegie Mellon University,2022,Program,Female,Female,North America,2015,Female,FullNameMatch
Rodrigo Fonseca,Microsoft Research,2022,Program,Male,Male,North America,2015,Male,FullNameMatch
Manya Ghobadi,Massachusetts Institute of Technology,2022,Program,Female,Female,North America,2013,Female,FullNameMatch
Soudeh Ghorbani,Johns Hopkins University,2022,Program,Female,Female,North America,2016,Female,FullNameMatch
Phillipa Gill,Google,2022,Program,Female,Female,North America,2012,Female,FullNameMatch
Brighten Godfrey,University of Illinois at Urbana–Champaign and VMware,2022,Program,,Male,North America,2009,Male,FuzzyMatch
Shyam Gollakota,University of Washington,2022,Program,Male,Male,North America,2013,Male,FullNameMatch
Ramesh Govindan,University of Southern California,2022,Program,Male,Male,North America,1992,Male,FullNameMatch
Chuanxiong Guo,ByteDance,2022,Program,Male,Male,Asia,Phd,Male,FullNameMatch
Andreas Haeberlen,University of Pennsylvania,2022,Program,Male,Male,North America,2009,Male,FullNameMatch
Kurtis Heimerl,University of Washington,2022,Program,Male,Male,North America,2013,Male,FullNameMatch
Wenjun Hu,Yale University,2022,Program,Female,Female,North America,2008,Female,FullNameMatch
Kyle Jamieson,Princeton University,2022,Program,Male,Male,North America,2008,Male,FullNameMatch
Junchen Jiang,University of Chicago,2022,Program,Male,Male,North America,2017,Male,FullNameMatch
Anuj Kalia,Microsoft Research,2022,Program,Male,Male,North America,2019,Male,FullNameMatch
Anurag Khandelwal,Yale University,2022,Program,Male,Male,North America,2019,Male,FullNameMatch
Ana Klimovic,ETH Zurich,2022,Program,Female,Female,Europe,2019,Female,FullNameMatch
Dejan Kostic,KTH Royal Institute of Technology,2022,Program,Male,Male,Europe,2005,Male,FullNameMatch
Franck Le,IBM Research,2022,Program,Male,Male,North America,2010,Male,FullNameMatch
Kate Lin,National Chiao Tung University,2022,Program,,Female,Asia,2009,Female,FuzzyMatch
Zaoxing Alan Liu,Boston University,2022,Program,,Male,North America,2018,Male,FuzzyMatch
Jay Lorch,Microsoft Research,2022,Program,Male,Male,North America,2001,Male,FullNameMatch
Jonathan Mace,Max Planck Institute for Software Systems (MPI-SWS),2022,Program,Male,Male,Europe,2018,Male,FullNameMatch
Harsha Madhyastha,University of Michigan,2022,Program,,Male,North America,2008,Male,FuzzyMatch
Aurojit Panda,New York University,2022,Program,Male,Male,North America,2017,Male,FullNameMatch
Kyoongsoo Park,Korea Advanced Institute of Science and Technology (KAIST),2022,Program,Male,Male,Asia,2004,Male,FullNameMatch
Chunyi Peng,Purdue University,2022,Program,Female,Female,North America,2013,Female,FullNameMatch
Ben Pfaff,VMware Research,2022,Program,Male,Male,North America,2007,Male,FullNameMatch
George Porter,"University of California, San Diego",2022,Program,Male,Male,North America,2008,Male,FullNameMatch
Costin Raiciu,University Politehnica of Bucharest and Correct Networks,2022,Program,Male,Male,Europe,2011,Male,FullNameMatch
Robert Ricci,University of Utah,2022,Program,Male,Male,North America,2010,Male,FullNameMatch
Michael Schapira,The Hebrew University of Jerusalem,2022,Program,Male,Male,Asia,2008,Male,FullNameMatch
Stefan Schmid,Technische Universität Berlin and University of Vienna,2022,Program,,Male,Europe,2008,Male,FuzzyMatch
Brent Stephens,University of Utah,2022,Program,,Male,North America,2015,Male,FuzzyMatch
Laurent Vanbever,ETH Zurich,2022,Program,Male,Male,Europe,2012,Male,FullNameMatch
Shivaram Venkataraman,University of Wisconsin—Madison,2022,Program,Male,Male,North America,2017,Male,FullNameMatch
David Walker,Princeton University,2022,Program,Male,Male,North America,2001,Male,FullNameMatch
Jia Wang,AT&T Labs,2022,Program,Female,Female,North America,2000,Female,FullNameMatch
Michael Wei,VMware Research,2022,Program,Male,Male,North America,2017,Male,FullNameMatch
John Wilkes,Google,2022,Program,Male,Male,North America,1982,Male,FullNameMatch
Xiaowei Yang,Duke University,2022,Program,Female,Female,North America,2004,Female,FullNameMatch
Minlan Yu,Harvard University,2022,Program,Female,Female,North America,2011,Female,FullNameMatch
Ellen Zegura,Georgia Institute of Technology,2022,Program,,Female,North America,1993,Female,FuzzyMatch
Ying Zhang,Facebook,2022,Program,Female,Female,North America,2009,Female,FullNameMatch
Yiying Zhang,"University of California, San Diego",2022,Program,Female,Female,North America,2019,Female,FullNameMatch
Ben Zhao,University of Chicago,2022,Program,Male,Male,North America,2004,Male,FullNameMatch
Wenting Zheng,Carnegie Mellon University,2022,Program,Female,Female,North America,2020,Female,FullNameMatch
Lin Zhong,Yale University,2022,Program,Male,Male,North America,2005,Male,FullNameMatch
Danyang Zhuo,Duke University,2022,Program,Male,Male,North America,2019,Male,FullNameMatch
Sangeetha Abdu-Jyothi,"University of California, Irvine, and VMware Research",2023,Program,,Female,North America,2019,Female,FuzzyMatch
Fadel Adib,Massachusetts Institute of Technology,2023,Program,Male,Male,North America,2016,Male,FullNameMatch
Rachit Agarwal,Cornell University,2023,Program,,Male,North America,2012,Male,FuzzyMatch
Aditya Akella,The University of Texas at Austin,2023,Program,Male,Male,North America,2005,Male,FullNameMatch
Deniz Altinbuken,Google,2023,Program,Female,Female,North America,2017,Female,FullNameMatch
Ganesh Ananthanarayanan,Microsoft Research,2023,Program,Male,Male,North America,2013,Male,FullNameMatch
Maria Apostolaki,Princeton University,2023,Program,Female,Female,North America,2021,Female,FullNameMatch
Katerina Argyraki,EPFL,2023,Program,,Female,Europe,2007,Female,FuzzyMatch
Behnaz Arzani,Microsoft Research,2023,Program,Female,Female,North America,2017,Female,FullNameMatch
Adam Belay,Massachusetts Institute of Technology,2023,Program,Male,Male,North America,2016,Male,FullNameMatch
