name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear
Kate Lin,"Academia Sinica, Taiwan",2012,Program,,Female,Asia,2009
Michael Mitzenmacher,Harvard University,2012,Program,Male,Male,NorAm,1996
Ed Nightingale,Microsoft Research,2012,Program,Male,Male,NorAm,2007
Brian Noble,University of Michigan,2012,Program,Male,Male,NorAm,1998
Srinivasan Seshan,Carnegie Mellon University,2012,Program,Male,Male,NorAm,1995
Emin Gün Sirer,Cornell University,2012,Program,,Male,NorAm,2000
Kun Tan,Microsoft Research,2012,Program,Male,Male,NorAm,?
Amin Vahdat,"University of California, San Diego",2012,Program,Male,Male,NorAm,1998
Geoff Voelker,"University of California, San Diego",2012,Program,Male,Male,NorAm,2000
Andrew Warfield,University of British Columbia,2012,Program,Male,Male,NorAm,2006
Matt Welsh,Google,2012,Program,Male,Male,NorAm,2002
Xiaowei Yang,Duke University,2012,Program,Female,Female,NorAm,2004
Nickolai Zeldovich,Massachusetts Institute of Technology,2012,Program,Male,Male,NorAm,2008
Aditya Akella,University of Wisconsin—Madison,2013,Program,Male,Male,NorAm,2005
Katerina Argyraki,École Polytechnique Fédérale de Lausanne  (EPFL),2013,Program,,Female,EU,2007
Suman Banerjee,University of Wisconsin—Madison,2013,Program,Male,Male,NorAm,2003
Matthew Caesar,University of Illinois at Urbana-Champaign,2013,Program,,Male,NorAm,2007
Jeff Chase,Duke University,2013,Program,Male,Male,NorAm,1995
Rodrigo Fonseca,Brown University,2013,Program,Male,Male,NorAm,2008
Bryan Ford,Yale University,2013,Program,Male,Male,NorAm,2008
Mike Freedman,Princeton University,2013,Program,Male,Male,NorAm,2007
Krishna Gummadi,Max Planck Institute for Software Systems (MPI-SWS),2013,Program,,Male,EU,2005
Rebecca Isaacs,Microsoft Research,2013,Program,Female,Female,NorAm,2000
Jaeyeon Jung,Microsoft Research,2013,Program,Female,Female,NorAm,2006
Brad Karp,University College London,2013,Program,Male,Male,EU,2000
Ethan Katz-Bassett,University of Southern California,2013,Program,Male,Male,NorAm,2012
Dejan Kostić,Institute IMDEA Networks,2013,Program,,Male,EU,2005
Arvind Krishnamurthy,University of Washington,2013,Program,Male,Male,NorAm,1998
Wenke Lee,Georgia Institute of Technology,2013,Program,Male,Male,NorAm,1999
Dave Levin,University of Maryland,2013,Program,Male,Male,NorAm,2010
Philip Levis,Stanford University,2013,Program,Male,Male,NorAm,2005
Ratul Mahajan,Microsoft Research,2013,Program,Male,Male,NorAm,2005
James  Mickens,Microsoft Research,2013,Program,,Male,NorAm,2008
Andrew Moore,University of Cambridge,2013,Program,Male,Male,EU,2001
Richard Mortier,University of Nottingham,2013,Program,Male,Male,EU,2001
Michael Piatek,Google,2013,Program,Male,Male,NorAm,2011
George Porter,"University of California, San Diego",2013,Program,Male,Male,NorAm,2008
Luigi Rizzo,Università di Pisa,2013,Program,Male,Male,EU,1998
Lakshminarayanan Subramanian,New York University,2013,Program,Male,Male,NorAm,2005
Renata Teixeira,CNRS and UPMC Sorbonne Universités,2013,Program,Female,Female,EU,2005
Kobus Van der Merwe,University of Utah,2013,Program,Male,Male,NorAm,1998
Michael Walfish,"University of Texas, Austin",2013,Program,Male,Male,NorAm,2008
Heather Zheng,"University of California, Santa Barbara",2013,Program,Female,Female,NorAm,1999
Katerina Argyraki,EPFL,2014,Program,,Female,EU,2007
Aruna Balasubramanian,University of Washington,2014,Program,Female,Female,NorAm,2011
Miguel Castro,Microsoft Research Cambridge,2014,Program,Male,Male,NorAm,2001
Prabal Dutta,University of Michigan,2014,Program,Male,Male,NorAm,2009
Mike Freedman,Princeton University,2014,Program,Male,Male,NorAm,2007
Ali  Ghodsi,"KTH Royal Institute of Technology and University of California, Berkeley",2014,Program,,Male,NorAm,2006
Brighten Godfrey,University of Illinois at Urbana-Champaign,2014,Program,,Male,NorAm,2009
Sharon Goldberg,Boston University,2014,Program,Female,Female,NorAm,2009
Shyamnath Gollakota,University of Washington,2014,Program,Male,Male,NorAm,2013
Ramesh Govindan,University of Southern California,2014,Program,Male,Male,NorAm,1992
Saikat Guha,Microsoft Research India,2014,Program,Male,Male,Asia,2009
Kyle Jamieson,University College London,2014,Program,Male,Male,NorAm,2008
Ethan Katz-Bassett,University of Southern California,2014,Program,Male,Male,NorAm,2012
S. Keshav,University of Waterloo,2014,Program,,Male,NorAm,1991
Changhoon Kim,Microsoft,2014,Program,Male,Male,NorAm,2009
Dejan Kostić,IMDEA Networks,2014,Program,,Male,EU,2005
T. V. Lakshman,Bell Labs,2014,Program,Male,Male,NorAm,1986
Nikolaos Laoutaris,Telefónica,2014,Program,Male,Male,EU,2004
Bruce Maggs,Duke University,2014,Program,Male,Male,NorAm,1989
KyoungSoo Park,KAIST,2014,Program,Male,Male,Asia,2007
George Porter,"University of California, San Diego",2014,Program,Male,Male,NorAm,2008
Lili Qiu,University of Texas,2014,Program,Female,Female,NorAm,2001
Sanjay Rao,Purdue University,2014,Program,Male,Male,NorAm,2004
Jennifer Rexford,Princeton University,2014,Program,Female,Female,NorAm,1996
Vyas Sekar,Stony Brook University,2014,Program,Male,Male,NorAm,2010
Srinivasan Seshan,Carnegie Mellon University,2014,Program,Male,Male,NorAm,1995
Jonathan Smith,University of Pennsylvania,2014,Program,Male,Male,NorAm,1989
Nina Taft,Technicolor,2014,Program,Female,Female,NorAm,1994
Amin Vahdat,"Google and University of California, San Diego",2014,Program,Male,Male,NorAm,1998
Walter Willinger,Niksun,2014,Program,Male,Male,NorAm,1987
Yuan Yu,Microsoft,2014,Program,Male,Male,NorAm,1992
Ben Zhao,"University of California, Santa Barbara",2014,Program,Male,Male,NorAm,2004
Atul Adya,Google,2015,Program,Male,Male,NorAm,1999
Aditya Akella,University of Wisconsin–Madison,2015,Program,Male,Male,NorAm,2005
Katerina Argyraki,EPFL,2015,Program,,Female,EU,2007
Hitesh Ballani,Microsoft Research Cambridge,2015,Program,Male,Male,EU,2009
Suman Banerjee,University of Wisconsin–Madison,2015,Program,Male,Male,NorAm,2003
Jeff Chase,Duke University,2015,Program,Male,Male,NorAm,1995
