name,region,year,committee
Amin Vahdat,"University of California, San Diego",2013,Steering
Casey Henderson,USENIX Association,2014,Steering
Arvind Krishnamurthy,University of Washington,2014,Steering
Brian Noble,University of Michigan,2014,Steering
Jennifer Rexford,Princeton University,2014,Steering
Mike Schroeder,Microsoft Research,2014,Steering
Alex C. Snoeren,"University of California, San Diego",2014,Steering
Chandu Thekkath,Microsoft Research,2014,Steering
Nick Feamster,Princeton University,2015,Steering
Casey Henderson,USENIX Association,2015,Steering
Arvind Krishnamurthy,University of Washington,2015,Steering
Brian Noble,University of Michigan,2015,Steering
Jennifer Rexford,Princeton University,2015,Steering
Mike Schroeder,Microsoft Research,2015,Steering
Alex C. Snoeren,"University of California, San Diego",2015,Steering
Paul Barham,Google,2016,Steering
Nick Feamster,Princeton University,2016,Steering
Casey Henderson,USENIX Association,2016,Steering
Arvind Krishnamurthy,University of Washington,2016,Steering
Brian Noble,University of Michigan,2016,Steering
Jennifer Rexford,Princeton University,2016,Steering
Alex C. Snoeren,"University of California, San Diego",2016,Steering
Katerina Argyraki,EPFL,2017,Steering
Paul Barham,Google,2017,Steering
Nick Feamster,Princeton University,2017,Steering
Casey Henderson,USENIX Association,2017,Steering
Arvind Krishnamurthy,University of Washington,2017,Steering
Jeff Mogul,Google,2017,Steering
Brian Noble,University of Michigan,2017,Steering
Timothy Roscoe,ETH Zurich,2017,Steering
Alex C. Snoeren,"University of California, San Diego",2017,Steering
Aditya Akella,University of Wisconsin–Madison,2018,Steering
Katerina Argyraki,EPFL,2018,Steering
Paul Barham,Google,2018,Steering
Nick Feamster,Princeton University,2018,Steering
Casey Henderson,USENIX Association,2018,Steering
Jon Howell,Google,2018,Steering
Arvind Krishnamurthy,University of Washington,2018,Steering
Jeff Mogul,Google,2018,Steering
Brian Noble,University of Michigan,2018,Steering
Timothy Roscoe,ETH Zurich,2018,Steering
Alex C. Snoeren,"University of California, San Diego",2018,Steering
Aditya Akella,University of Wisconsin–Madison,2019,Steering
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2019,Steering
Sujata Banerjee,VMware Research,2019,Steering
Paul Barham,Google,2019,Steering
Nick Feamster,Princeton University,2019,Steering
Casey Henderson,USENIX Association,2019,Steering
Jon Howell,VMware Research,2019,Steering
Arvind Krishnamurthy,University of Washington,2019,Steering
Jeff Mogul,Google,2019,Steering
Brian Noble,University of Michigan,2019,Steering
Timothy Roscoe,ETH Zurich,2019,Steering
Srinivasan Seshan,Carnegie Mellon University,2019,Steering
Aditya Akella,University of Wisconsin–Madison,2020,Steering
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2020,Steering
Sujata Banerjee,VMware Research,2020,Steering
Paul Barham,Google,2020,Steering
Nick Feamster,University of Chicago,2020,Steering
Casey Henderson,USENIX Association,2020,Steering
Jon Howell,VMware Research,2020,Steering
Arvind Krishnamurthy,University of Washington,2020,Steering
Jay Lorch,Microsoft Research,2020,Steering
Jeff Mogul,Google,2020,Steering
Brian Noble,University of Michigan,2020,Steering
Timothy Roscoe,ETH Zurich,2020,Steering
Srinivasan Seshan,Carnegie Mellon University,2020,Steering
Minlan Yu,Harvard University,2020,Steering
Aditya Akella,University of Wisconsin–Madison,2021,Steering
Sujata Banerjee,VMware Research,2021,Steering
Paul Barham,Google,2021,Steering
Nick Feamster,University of Chicago,2021,Steering
Casey Henderson,USENIX Association,2021,Steering
Jon Howell,VMware Research,2021,Steering
Arvind Krishnamurthy,University of Washington,2021,Steering
Jay Lorch,Microsoft Research,2021,Steering
Jeff Mogul,Google,2021,Steering
Brian Noble,University of Michigan,2021,Steering
Timothy Roscoe,ETH Zurich,2021,Steering
Srinivasan Seshan,Carnegie Mellon University,2021,Steering
Minlan Yu,Harvard University,2021,Steering
Aditya Akella,University of Wisconsin–Madison,2022,Steering
Sujata Banerjee,VMware Research,2022,Steering
Ranjita Bhagwan,Microsoft Research India,2022,Steering
Casey Henderson,USENIX Association,2022,Steering
Jon Howell,VMware Research,2022,Steering
Arvind Krishnamurthy,University of Washington,2022,Steering
Jay Lorch,Microsoft Research,2022,Steering
James Mickens,Harvard University,2022,Steering
Jeff Mogul,Google,2022,Steering
George Porter,"University of California, San Diego",2022,Steering
Timothy Roscoe,ETH Zurich,2022,Steering
Srinivasan Seshan,Carnegie Mellon University,2022,Steering
Renata Teixeira,Netflix,2022,Steering
Minlan Yu,Harvard University,2022,Steering
Aditya Akella,The University of Texas at Austin,2023,Steering
Sujata Banerjee,VMware Research,2023,Steering
Ranjita Bhagwan,Microsoft Research India,2023,Steering
Casey Henderson,USENIX Association,2023,Steering
Jon Howell,VMware Research,2023,Steering
Arvind Krishnamurthy,University of Washington,2023,Steering
Jay Lorch,Microsoft Research,2023,Steering
James Mickens,Harvard University,2023,Steering
Amar Phanishayee,Microsoft Research,2023,Steering
George Porter,"University of California, San Diego",2023,Steering
Vyas Sekar,Carnegie Mellon University,2023,Steering
Renata Teixeira,Netflix,2023,Steering
Minlan Yu,Harvard University,2023,Steering
