name,region,year,committee
Thomas Moscibroda,Microsoft Research,2016,Program
David Oran,Cisco Systems,2016,Program
Oriana Riva,Microsoft Research,2016,Program
Vyas Sekar,Carnegie Mellon University,2016,Program
Siddhartha Sen,Microsoft Research,2016,Program
Srinivasan Seshan,Carnegie Mellon University,2016,Program
Ankit Singla,ETH Zürich,2016,Program
Jonathan Smith,University of Pennsylvania,2016,Program
Alex Snoeren,"University of California, San Diego",2016,Program
Kobus Van der Merwe,University of Utah,2016,Program
Laurent Vanbever,ETH Zürich,2016,Program
Matt Welsh,Google,2016,Program
Sharad Agarwal,Microsoft,2017,Program
Thomas E. Anderson,University of Washington,2017,Program
Andrea Arpaci-Dusseau,University of Wisconsin—Madison,2017,Program
Anirudh Badam,Microsoft,2017,Program
Mahesh Balakrishnan,Yale University,2017,Program
Fabian Bustamante,Northwestern University,2017,Program
Ranveer Chandra,Microsoft,2017,Program
David Choffnes,Northeastern University,2017,Program
Romit Roy Choudhury,University of Illinois at Urbana-Champaign,2017,Program
Mosharaf Chowdhury,University of Michigan,2017,Program
Mike Dahlin,Google,2017,Program
Anja Feldmann,Technische Universität Berlin,2017,Program
Rodrigo Fonseca,Brown University,2017,Program
Nate Foster,Cornell University,2017,Program
Deepak Ganesan,University of Massachusetts Amherst,2017,Program
Phillipa Gill,University of Massachusetts Amherst,2017,Program
Srikanth Kandula,Microsoft,2017,Program
Teemu Koponen,Styra,2017,Program
Sanjeev Kumar,Uber,2017,Program
Swarun Kumar,Carnegie Mellon University,2017,Program
Wyatt Lloyd,University of Southern California,2017,Program
Boon Thau Loo,University of Pennsylvania,2017,Program
Jay Lorch,Microsoft,2017,Program
Ratul Mahajan,Microsoft,2017,Program
Dahlia Malkhi,VMware,2017,Program
David Maltz,Microsoft,2017,Program
Z. Morley Mao,University of Michigan,2017,Program
Michael Mitzenmacher,Harvard University,2017,Program
Jason Nieh,Columbia University,2017,Program
George Porter,"University of California, San Diego",2017,Program
Luigi Rizzo,University of Pisa,2017,Program
Srini Seshan,Carnegie Mellon University,2017,Program
Anees Shaikh,Google,2017,Program
Ankit Singla,ETH Zurich,2017,Program
Robbert van Renesse,Cornell University,2017,Program
Geoff Voelker,"University of California, San Diego",2017,Program
David Wetherall,Google,2017,Program
Adam Wierman,California Institute of Technology,2017,Program
John Wilkes,Google,2017,Program
Minlan Yu,University of Southern California,2017,Program
Heather Zheng,"University of California, Santa Barbara",2017,Program
Lin Zhong,Rice University,2017,Program
Rachit Agarwal,Cornell University,2018,Program
Mohamed Alizadeh,MIT,2018,Program
Katerina Argyraki,EPFL,2018,Program
Ranjita Bhagwan,Microsoft Research,2018,Program
Marco Canini,KAUST,2018,Program
Kai Chen,HKUST,2018,Program
Romit Roy Choudhury,University of Illinois at Urbana-Champaign,2018,Program
Mike Freedman,Princeton University,2018,Program
Roxana Geambasu,Columbia University,2018,Program
Shyam Gollakota,University of Washington,2018,Program
Ramesh Govindan,USC,2018,Program
Dongsu Han,KAIST,2018,Program
Jon Howell,Google,2018,Program
Kyle Jamieson,Princeton University,2018,Program
Michael Kaminsky,Intel Labs,2018,Program
Srikanth Kandula,Microsoft,2018,Program
Srinivas Keshav,University of Waterloo,2018,Program
Kyu-Han Kim,Hewlett Packard Labs,2018,Program
Eddie Kohler,Harvard University,2018,Program
Arvind Krishnamurthy,University of Washington,2018,Program
Wyatt Lloyd,Princeton University,2018,Program
Boon Thau Loo,University of Pennsylvania,2018,Program
Jay Lorch,Microsoft,2018,Program
Harsha V. Madhyastha,University of Michigan,2018,Program
Dahlia Malkhi,VMware Research,2018,Program
KyongSoo Park,KAIST,2018,Program
Amar Phanishayee,Microsoft Research,2018,Program
Raluca Ada Popa,"University of California, Berkeley",2018,Program
George Porter,"University of California, San Diego",2018,Program
Lili Qiu,UT Austin,2018,Program
Costin Raiciu,University Politehnica of Bucharest,2018,Program
Timothy Roscoe,ETH Zurich,2018,Program
Michael Schapira,Hebrew University,2018,Program
Cole Schlesinger,Barefoot Networks,2018,Program
Vyas Sekar,Carnegie Mellon University,2018,Program
Emin Gun Sirer,Cornell University,2018,Program
Alex C. Snoeren,"University of California, San Diego",2018,Program
Hakim Weatherspoon,Cornell University,2018,Program
Keith Winstein,Stanford University,2018,Program
Timothy Wood 0001,George Washington University,2018,Program
Minlan Yu,Yale University,2018,Program
Matei Zaharia,Stanford University,2018,Program
Lin Zhong,Rice University,2018,Program
Fadel Adib,Massachusetts Institute of Technology,2019,Program
Aditya Akella,University of Wisconsin—Madison,2019,Program
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2019,Program
Aruna Balasubramanian,Stony Brook University,2019,Program
Sujata Banerjee,VMware Research,2019,Program
Paul Barham,Google,2019,Program
Ranjita Bhagwan,Microsoft Research,2019,Program
Kai Chen,Hong Kong University of Science and Technology,2019,Program
Vijay Chidambaram,The University of Texas at Austin and VMware Research,2019,Program
Mosharaf Chowdhury,University of Michigan,2019,Program
Asaf Cidon,Barracuda Networks,2019,Program
Anja Feldmann,Technische Universität Berlin,2019,Program
Bryan Ford,École Polytechnique Fédérale de Lausanne (EPFL),2019,Program
Roxana Geambasu,Columbia University,2019,Program
Manya Ghobadi,Microsoft Research,2019,Program
Jana Giceva,Imperial College London,2019,Program
Ronghui Gu,Columbia University,2019,Program
Haryadi Gunawi,University of Chicago,2019,Program
Andreas Haeberlen,University of Pennsylvania,2019,Program
Haitham Hassanieh,University of Illinois at Urbana-Champaign,2019,Program
Jon Howell,VMware Research,2019,Program
Rebecca Isaacs,Twitter,2019,Program
Xin Jin,Johns Hopkins University,2019,Program
Srikanth Kandula,Microsoft Research,2019,Program
Manos Kapritsos,University of Michigan,2019,Program
Dejan Kostić,KTH Royal Institute of Technology,2019,Program
Ramakrishna Kotla,Amazon Web Services,2019,Program
Arvind Krishnamurthy,University of Washington,2019,Program
Hongqiang Liu,Alibaba,2019,Program
Harsha V. Madhyastha,University of Michigan and Google,2019,Program
Dahlia Malkhi,VMware Research,2019,Program
Allison Mankin,Salesforce,2019,Program
Derek Murray,Google,2019,Program
Aurojit Panda,New York University,2019,Program
KyoungSoo Park,Korea Advanced Institute of Science and Technology (KAIST),2019,Program
Amar Phanishayee,Microsoft Research,2019,Program
Raluca Ada Popa,"University of California, Berkeley",2019,Program
George Porter,"University of California, San Diego",2019,Program
Lili Qiu,The University of Texas at Austin,2019,Program
K. K. Ramakrishnan,"University of California, Riverside",2019,Program
Michael Schapira,Hebrew University of Jerusalem,2019,Program
Cole Schlesinger,Amazon Web Services,2019,Program
Vyas Sekar,Carnegie Mellon University,2019,Program
Ankit Singla,ETH Zurich,2019,Program
Anirudh Sivaraman,New York University,2019,Program
Alex C. Snoeren,"University of California, San Diego",2019,Program
Michael Stumm,University of Toronto,2019,Program
Ryan Stutsman,University of Utah,2019,Program
Geoff Voelker,"University of California, San Diego",2019,Program
Hakim Weatherspoon,Cornell University,2019,Program
John Wilkes,Google,2019,Program
Keith Winstein,Stanford University,2019,Program
Jie Xiong,University of Massachusetts Amherst,2019,Program
James Hongyi Zeng,Facebook,2019,Program
Irene Zhang,Microsoft Research,2019,Program
Xinyu Zhang,"University of California, San Diego",2019,Program
Lin Zhong,Rice University,2019,Program
Rachit Agarwal,Cornell University,2020,Program
Aditya Akella,University of Wisconsin—Madison,2020,Program
Mohammad Alizadeh,Massachusetts Institute of Technology,2020,Program
Andrea Arpaci-Dusseau,University of Wisconsin—Madison,2020,Program
Behnaz Arzani,Microsoft Research,2020,Program
Hitesh Ballani,Microsoft Research,2020,Program
Sujata Banerjee,VMware Research,2020,Program
Ivan Beschastnikh,University of British Columbia,2020,Program
Dinesh Bharadia,"University of California, San Diego",2020,Program
Fabian Bustamante,Northwestern University,2020,Program
David Choffnes,Northeastern University,2020,Program
Romit Roy Choudhury,University of Illinois at Urbana–Champaign,2020,Program
Asaf Cidon,Columbia University,2020,Program
Heming Cui,University of Hong Kong,2020,Program
Nate Foster,Cornell University,2020,Program
Manya Ghobadi,Massachusetts Institute of Technology,2020,Program
Arpit Gupta,"University of California, Santa Barbara",2020,Program
Hamed Haddadi,Imperial College London,2020,Program
Rebecca Isaacs,Twitter,2020,Program
Kyle Jamieson,Princeton University,2020,Program
Xin Jin,Johns Hopkins University,2020,Program
Dina Katabi,Massachusetts Institute of Technology,2020,Program
Charles Killian,Google,2020,Program
Taesoo Kim,Georgia Institute of Technology,2020,Program
Dejan Kostic,KTH Royal Institute of Technology,2020,Program
Patrick P. C. Lee,The Chinese University of Hong Kong,2020,Program
Andrew Moore,Cambridge University,2020,Program
Ravi Netravali,"University of California, Los Angeles",2020,Program
Jitendra Padhye,Microsoft Research,2020,Program
Aurojit Panda,New York University,2020,Program
KyoungSoo Park,Korea Advanced Institute of Science and Technology (KAIST),2020,Program
Bryan Parno,Carnegie Mellon University,2020,Program
Simon Peter,The University of Texas at Austin,2020,Program
Amar Phanishayee,Microsoft Research,2020,Program
Ramachandran Ramjee,Microsoft Research,2020,Program
Cole Schlesinger,Barefoot Networks,2020,Program
Aaron Schulman,"University of California, San Diego",2020,Program
Vyas Sekar,Carnegie Mellon University,2020,Program
Ankit Singla,ETH Zurich,2020,Program
Anirudh Sivaraman,New York University,2020,Program
Lalith Suresh,VMware Research,2020,Program
Renata Teixeira,Inria,2020,Program
Carmela Troncoso,École Polytechnique Fédérale de Lausanne (EPFL),2020,Program
Amin Vahdat,Google,2020,Program
Laurent Vanbever,ETH Zurich,2020,Program
Rashmi Vinayak,Carnegie Mellon University,2020,Program
Mythili Vutukuru,Indian Institute of Technology Bombay,2020,Program
Meg Walraed-Sullivan,Set Your Intention,2020,Program
Hakim Weatherspoon,Cornell University,2020,Program
Keith Winstein,Stanford University,2020,Program
Ding Yuan,University of Toronto,2020,Program
Eitan Zahavi,Mellanox Technologies,2020,Program
Ellen Zegura,Georgia Institute of Technology,2020,Program
Ben Zhao,University of Chicago,2020,Program
Lin Zhong,Rice University,2020,Program
Fadel Adib,Massachusetts Institute of Technology,2021,Program
Rachit Agarwal,Cornell University,2021,Program
Irfan Ahmad,Magnition,2021,Program
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2021,Program
Mahesh Balakrishnan,Facebook,2021,Program
Aruna Balasubramanian,Stony Brook University,2021,Program
Sujata Banerjee,VMware,2021,Program
Suman Banerjee,University of Wisconsin—Madison,2021,Program
Theo Benson,Brown University,2021,Program
Dinesh Bharadia,"University of California, San Diego",2021,Program
Pramod Bhatotia,TU Munich,2021,Program
Olivier Bonaventure,Université catholique de Louvain,2021,Program
Joseph Bonneau,New York University,2021,Program
Matthew Caesar 0001,University of Illinois at Urbana–Champaign,2021,Program
Ang Chen,Rice University,2021,Program
Bo Chen,Meraki,2021,Program
Kai Chen,Hong Kong University of Science & Technology,2021,Program
Mosharaf Chowdhury,University of Michigan,2021,Program
Asaf Cidon,Columbia University,2021,Program
Italo Cunha,Universidade Federal de Minas Gerais,2021,Program
Nandita Dukkipati,Google,2021,Program
Zakir Durumeric,Stanford University,2021,Program
Lars Eggert,NetApp,2021,Program
Manya Ghobadi,Massachusetts Institute of Technology,2021,Program
Shyam Gollakota,University of Washington,2021,Program
Haryadi Gunawi,University of Chicago,2021,Program
Arpit Gupta,"University of California, Santa Barbara",2021,Program
Indranil Gupta,University of Illinois at Urbana–Champaign,2021,Program
Hamed Haddadi,Imperial College London,2021,Program
Andreas Haeberlen,University of Pennsylvania,2021,Program
Dongsu Han,Korea Advanced Institute of Science and Technology (KAIST),2021,Program
Haitham Hassanieh,University of Illinois at Urbana–Champaign,2021,Program
Ryan Huang,Johns Hopkins University,2021,Program
Keon Jang,Max Planck Institute for Software Systems,2021,Program
Junchen Jiang,University of Chicago,2021,Program
Anurag Khandelwal,Yale University,2021,Program
Changhoon Kim,Barefoot Networks,2021,Program
Dejan Kostic,KTH Royal Institute of Technology,2021,Program
Haonan Lu,Princeton University and Microsoft Research,2021,Program
Morley Mao,University of Michigan,2021,Program
Shuai Mu,Stony Brook University,2021,Program
Gilles Muller,Inria,2021,Program
Rajalakshmi Nandakumar,Cornell University,2021,Program
Ravi Netravali,"University of California, Los Angeles",2021,Program
Rishab Nithyanand,University of Iowa,2021,Program
Dave Oran,Independent,2021,Program
Dan Pei,Tsinghua University,2021,Program
Barath Raghavan,University of Southern California,2021,Program
Costin Raiciu,Universitatea Politehnica Bucuresti,2021,Program
Jennifer Rexford,Princeton University,2021,Program
Chris Rossbach,The University of Texas at Austin,2021,Program
Michael Schapira,The Hebrew University of Jerusalem,2021,Program
Eric Schkufza,VMware,2021,Program
Siddhartha Sen,Microsoft Research,2021,Program
Srinivasan Seshan,Carnegie Mellon University,2021,Program
Rob Sherwood,Facebook,2021,Program
Alex Snoeren,"University of California, San Diego",2021,Program
Ryan Stutsman,University of Utah,2021,Program
Srikanth Sundaresan,Facebook,2021,Program
Laurent Vanbever,ETH Zurich,2021,Program
Peter Varman,Rice University,2021,Program
Matteo Varvello,Brave Software,2021,Program
Joerg Widmer,IMDEA,2021,Program
Yongqiang Xiong,Microsoft Research Asia,2021,Program
Minlan Yu,Harvard University,2021,Program
Matei Zaharia,Stanford University,2021,Program
Irene Zhang,Microsoft Research,2021,Program
Yiying Zhang,"University of California, San Diego",2021,Program
Lin Zhong,Rice University,2021,Program
Noa Zilberman,University of Oxford,2021,Program
Sangeetha Abdu-Jyothi,"University of California, Irvine, and VMware Research",2022,Program
Fadel Adib,Massachusetts Institute of Technology,2022,Program
Behnaz Arzani,Microsoft Research,2022,Program
Anirudh Badam,Microsoft Research,2022,Program
Mahesh Balakrishnan,Facebook,2022,Program
Aruna Balasubramanian,Stony Brook University,2022,Program
Hitesh Ballani,Microsoft Research,2022,Program
Sujata Banerjee,VMware Research,2022,Program
Theo Benson,Brown University,2022,Program
Matthew Caesar,University of Illinois at Urbana–Champaign,2022,Program
Vijay Chidambaram,The University of Texas at Austin,2022,Program
Asaf Cidon,Columbia University,2022,Program
Angela Demke Brown,University of Toronto,2022,Program
Fahad Dogar,Tufts University,2022,Program
Giulia Fanti,Carnegie Mellon University,2022,Program
Rodrigo Fonseca,Microsoft Research,2022,Program
Manya Ghobadi,Massachusetts Institute of Technology,2022,Program
Soudeh Ghorbani,Johns Hopkins University,2022,Program
Phillipa Gill,Google,2022,Program
Brighten Godfrey,University of Illinois at Urbana–Champaign and VMware,2022,Program
Shyam Gollakota,University of Washington,2022,Program
Ramesh Govindan,University of Southern California,2022,Program
Chuanxiong Guo,ByteDance,2022,Program
Andreas Haeberlen,University of Pennsylvania,2022,Program
Kurtis Heimerl,University of Washington,2022,Program
Wenjun Hu,Yale University,2022,Program
Kyle Jamieson,Princeton University,2022,Program
Junchen Jiang,University of Chicago,2022,Program
Anuj Kalia,Microsoft Research,2022,Program
Anurag Khandelwal,Yale University,2022,Program
Ana Klimovic,ETH Zurich,2022,Program
Dejan Kostic,KTH Royal Institute of Technology,2022,Program
Franck Le,IBM Research,2022,Program
